ID|Code|IDPlayer|DayBirth|MonthBirth|YearBirth|Height|Weight|RightHanded|TurnedPro
150|D864|Do/E/Evgeny-Donskoy|9|5|1990|185|74|1|-1
151|H355|Top-Players/Tommy-Haas|3|4|1978|188|84|1|1996
152|K839|Ka/T/Tobias-Kamke|21|5|1986|178|74|1|2004
153|R750|Ri/P/Pere-Riba|7|4|1988|183|79|1|-1
154|CD85|Ca/P/Pablo-Carreno-Busta|12|7|1991|188|74|1|2009
155|K834|Ka/B/Blaz-Kavcic|5|3|1987|188|79|1|2005
156|L480|Top-Players/Marc-Lopez|31|7|1982|175|72|1|1999
157|GA36|Go/E/Emilio-Gomez|28|11|1991|-1|-1|1|-1
158|MH98|Ma/D/Dino-Marcan|12|2|1991|-1|-1|-1|-1
159|N503|Ne/A/Aleksandr-Nedovyesov|15|2|1987|193|81|1|2005
160|R613|Top-Players/Edouard-Roger-Vasselin|28|11|1983|188|75|1|2002
161|C977|Top-Players/Marin-Cilic|28|9|1988|198|82|1|2005
162|MD56|Top-Players/Leonardo-Mayer|15|5|1987|188|83|1|2003
163|BD20|Top-Players/Thomaz-Bellucci|30|12|1987|188|82|0|2005
164|G822|Gh/R/Riccardo-Ghedin|5|12|1985|188|73|1|-1
165|I230|It/T/Tatsuma-Ito|18|5|1988|180|75|1|2006
166|C723|Ci/F/Flavio-Cipolla|20|10|1983|173|74|1|2003
167|M915|Mu/D/Daniel-Munoz-De-La-Nava|29|1|1982|178|75|0|1999
168|V708|Ve/J/Jiri-Vesely|10|7|1993|198|90|0|2009
169|E180|Top-Players/Mikhail-Elgin|14|10|1981|183|78|1|1998
170|F401|Top-Players/David-Ferrer|2|4|1982|175|73|1|2000
171|C882|Top-Players/Pablo-Cuevas|1|1|1986|180|80|1|2004
172|BA86|Be/A/Andreas-Beck|5|2|1986|190|90|0|2003
173|E831|Ed/K/Kyle-Edmund|8|1|1995|-1|-1|1|-1
174|B896|Be/B/Benjamin-Becker|16|6|1981|178|72|1|2005
175|H996|He/P/Pierre-Hugues-Herbert|18|3|1991|188|74|1|2010
176|SC47|So/G/Go-Soeda|5|9|1984|178|73|1|2003
177|E224|Es/V/Victor-Estrella-Burgos|2|8|1980|173|77|1|2002
178|BA23|Ba/B/Brian-Baker|30|4|1985|190|77|1|2003
179|N409|Top-Players/Rafael-Nadal|3|6|1986|185|85|0|2001
180|MF09|Me/N/Nikola-Mektic|24|12|1988|-1|-1|-1|-1
181|L397|Top-Players/Feliciano-Lopez|20|9|1981|188|85|0|1997
182|T742|Top-Players/Janko-Tipsarevic|22|6|1984|180|80|1|2002
183|E698|El/G/Gastao-Elias|24|11|1990|180|76|1|-1
184|S694|Top-Players/Radek-Stepanek|27|11|1978|185|76|1|1996
185|G725|Top-Players/Santiago-Giraldo|27|11|1987|188|75|1|2004
186|W367|Top-Players/Stan-Wawrinka|28|3|1985|183|81|1|2002
187|K512|Kl/I/Ivo-Klec|28|11|1980|183|79|1|1999
188|BA77|Br/A/Arnau-Brugues-Davi|5|3|1985|183|82|0|2009
189|L949|La/H/Henri-Laaksonen|31|3|1992|185|80|1|-1
190|N552|Top-Players/Kei-Nishikori|29|12|1989|178|68|1|2007
191|J452|Je/S/Suk-Young-Jeong|12|4|1993|-1|-1|1|-1
192|G892|Go/A/Alejandro-Gonzalez-G892|7|2|1989|190|83|1|2006
193|MK40|Mi/B/Benjamin-Mitchell|30|11|1992|-1|-1|1|2008
194|C634|Ca/P/Paul-Capdeville|2|4|1983|190|78|1|2002
195|T840|Top-Players/Viktor-Troicki|10|2|1986|193|86|1|2006
196|Y061|Top-Players/Mikhail-Youzhny|25|6|1982|183|73|1|1999
197|P624|Top-Players/Philipp-Petzschner|24|3|1984|185|77|1|2001
198|SC56|Se/D/Dudi-Sela|4|4|1985|175|65|1|2002
199|BH66|Bi/M/Mikhail-Biryukov|28|4|1992|-1|-1|-1|-1
200|F724|Fu/M/Marton-Fucsovics|8|2|1992|188|80|-1|-1
201|PF65|Pe/F/Filip-Peliwo|30|1|1994|180|70|1|2013
202|B946|Ba/B/Benjamin-Balleret|15|1|1983|185|85|1|-1
203|MB02|Top-Players/Florian-Mayer|5|10|1983|190|82|1|2001
204|LB84|Lo/J/Juan-Ignacio-Londero|15|8|1993|-1|-1|1|-1
205|O264|Ou/J/Josselin-Ouanna|14|4|1986|193|91|1|2004
206|BH09|Be/A/Aljaz-Bedene|18|7|1989|183|72|1|2008
207|CG80|Co/B/Borna-Coric|14|11|1996|185|79|1|-1
208|D424|De/R/Rik-De-Voest|5|6|1980|180|68|1|1999
209|J386|Jo/S/Steve-Johnson|24|12|1989|188|86|1|2012
210|PD31|Top-Players/Benoit-Paire|8|5|1989|196|80|1|2007
211|R835|Ra/C/Cesar-Ramirez|25|1|1990|-1|-1|-1|-1
212|A941|Ar/F/Facundo-Arguello|4|8|1992|178|77|1|-1
213|S483|So/P/Pedro-Sousa|27|5|1988|180|68|1|2007
214|L503|Lo/P/Paolo-Lorenzi|15|12|1981|183|77|1|2003
215|MC65|Top-Players/Gael-Monfils|1|9|1986|193|80|1|2004
216|H804|Top-Players/Andreas-Haider-Maurer|22|3|1987|190|89|1|2005
217|G436|Gi/M/Marc-Gicquel|30|3|1977|188|75|1|1999
218|E688|Er/M/Markus-Eriksson|29|11|1989|188|80|1|-1
219|B757|Top-Players/Rohan-Bopanna|4|3|1980|190|87|1|2003
220|W373|Wa/Y/Jimmy-Wang|8|2|1985|180|73|1|2001
221|J397|Top-Players/Jerzy-Janowicz|13|11|1990|203|91|1|2007
222|E687|Ev/D/Daniel-Evans|23|5|1990|175|75|1|2006
223|O327|Ol/G/Guillermo-Olaso|25|3|1988|175|72|1|2006
224|E690|Eb/M/Matthew-Ebden|26|11|1987|188|78|1|-1
225|MH30|Mi/J/John-Millman|14|6|1989|183|-1|1|2006
226|BD06|Top-Players/Roberto-Bautista-Agut|14|4|1988|183|76|1|-1
227|H432|Top-Players/Lleyton-Hewitt|24|2|1981|180|77|1|1998
228|Z355|Zv/A/Alexander-Zverev|20|4|1997|198|86|1|2014
229|G806|Go/A/Andrey-Golubev|22|7|1987|185|77|1|2005
230|SF36|Si/I/Igor-Sijsling|18|8|1987|190|87|1|2005
231|P701|Pr/M/Michal-Przysiezny|16|2|1984|185|84|1|2001
232|K776|Kr/K/Konstantin-Kravchuk|23|2|1985|190|80|1|2004
233|BC65|Ba/M/Matthias-Bachinger|2|4|1987|188|83|1|2005
234|R736|Re/M/Miguel-Angel-Reyes-Varela|21|6|1987|-1|-1|-1|-1
235|O411|Ol/A/Albano-Olivetti|24|11|1991|203|104|1|2010
236|KB54|Ku/A/Andrey-Kuznetsov|22|2|1991|185|71|1|2008
237|G681|Ga/T/Teymuraz-Gabashvili|23|5|1985|188|83|1|2001
238|H704|Hu/J/Jesse-Huta-Galung|6|10|1985|188|88|1|2004
239|MA49|Ma/R/Rui-Machado|10|4|1984|178|65|1|2002
240|D875|Top-Players/Grigor-Dimitrov|16|5|1991|190|80|1|2008
241|D874|De/F/Federico-Delbonis|5|10|1990|190|88|0|2007
242|BE90|Top-Players/Ricardas-Berankis|21|6|1990|175|70|1|2007
243|M873|Top-Players/Nicolas-Mahut|21|1|1982|190|80|1|2000
244|CA71|Co/E/Edward-Corrie|21|2|1988|-1|-1|-1|-1
245|D643|Top-Players/Novak-Djokovic|22|5|1987|188|80|1|2003
246|SD32|Top-Players/Gilles-Simon|27|12|1984|183|70|1|2002
247|TA46|Top-Players/Bernard-Tomic|21|10|1992|196|91|1|2008
248|D646|Top-Players/Ivan-Dodig|2|1|1985|183|83|1|2004
249|L575|Top-Players/Yen-Hsun-Lu|14|8|1983|180|74|1|2001
250|D402|Top-Players/Nikolay-Davydenko|2|6|1981|178|70|1|1999
251|SB28|Sa/C/Carlos-Salamanca|15|1|1983|196|83|0|2001
252|W571|Wu/D/Di-Wu|14|9|1991|173|66|1|-1
253|G876|Go/M/Mao-Xin-Gong|24|8|1987|178|70|1|2006
254|KC56|Ka/A/Aslan-Karatsev|4|9|1993|-1|-1|-1|-1
255|BE54|Be/R/Ruben-Bemelmans|14|1|1988|-1|-1|0|-1
256|B884|Top-Players/Carlos-Berlocq|3|2|1983|183|81|1|2001
257|B676|Top-Players/James-Blake|28|12|1979|185|83|1|1999
258|K966|Top-Players/Martin-Klizan|11|7|1989|188|75|0|2007
259|V763|Ve/F/Filip-Veger|21|12|1994|-1|-1|-1|-1
260|CA12|Top-Players/Jeremy-Chardy|12|2|1987|188|75|1|2005
261|A539|Al/M/Martin-Alund|26|12|1985|183|80|1|-1
262|RA17|Ru/G/Guillaume-Rufin|26|5|1990|188|82|1|2008
263|BA47|Top-Players/Tomas-Berdych|17|9|1985|196|91|1|2002
264|SC77|Top-Players/Sergiy-Stakhovsky|6|1|1986|193|80|1|2003
265|MI08|Ma/J/Javier-Marti|11|1|1992|-1|-1|1|-1
266|W579|Wa/A/Alexander-Ward|30|4|1990|-1|-1|-1|-1
267|K435|Top-Players/Philipp-Kohlschreiber|16|10|1983|178|70|1|2001
268|W471|We/A/Amir-Weintraub|16|9|1986|188|74|1|2005
269|SI36|St/E/Eduardo-Struvay|17|12|1990|-1|-1|-1|-1
270|B842|Top-Players/Alex-Bogomolov-Jr|23|4|1983|178|75|1|2002
271|CA99|Co/M/Marius-Copil|17|10|1990|190|86|1|2008
272|V490|Vi/M/Matteo-Viola|7|7|1987|188|80|1|2004
273|KB43|Ke/R/Robin-Kern|3|10|1993|190|87|-1|-1
274|N390|Ni/F/Frederik-Nielsen|27|8|1983|190|83|1|2001
275|H528|Top-Players/Victor-Hanescu|21|7|1981|198|88|1|2000
276|A487|Am/P/Prakash-Amritraj|2|10|1983|188|75|1|2003
277|J267|Ja/M/Malek-Jaziri|20|1|1984|185|80|1|-1
278|H442|He/J/Jan-Hernych|7|7|1979|190|83|1|1998
279|K760|Ko/E/Evgeny-Korolev|14|2|1988|185|82|1|2005
280|I165|Top-Players/Denis-Istomin|7|9|1986|188|88|1|2004
281|BA57|Bo/I/Ilija-Bozoljac|2|8|1985|193|86|1|2002
282|BF55|Bh/Y/Yuki-Bhambri|4|7|1992|183|77|1|2008
283|D801|Top-Players/Alexandr-Dolgopolov|7|11|1988|180|71|1|2006
284|SG87|Top-Players/Ryan-Sweeting|14|7|1987|196|83|1|2007
285|W483|We/B/Boy-Westerhof|24|10|1985|185|80|1|2006
286|MF36|Me/M/Miloslav-Mecir|20|1|1988|190|86|1|-1
287|SM25|Top-Players/Jack-Sock|24|9|1992|190|84|1|2011
288|K336|Top-Players/Ivo-Karlovic|28|2|1979|211|104|1|2000
289|KE64|Ko/S/Stefan-Kozlov|1|2|1998|178|70|1|2013
290|K737|Ku/A/Alex-Kuznetsov|5|2|1987|183|76|1|2004
