IDTournament|e|y|Indoor|TournamentType
277|460|2014|1|4
278|6708|2014|0|4
279|5018|2014|0|4
280|6946|2014|0|4
281|6957|2014|0|4
282|695|2014|1|4
283|6714|2014|0|4
284|854|2014|1|4
285|6959|2014|0|4
286|6239|2014|1|4
287|3618|2014|1|4
288|6963|2014|0|4
289|6961|2014|0|4
290|398|2014|1|4
291|6965|2014|0|4
292|59|2014|0|4
293|91|2014|1|4
294|6486|2014|0|4
295|6114|2014|1|4
296|6566|2014|0|4
297|3535|2014|1|4
298|6284|2014|0|4
299|6250|2014|0|4
300|6244|2014|0|4
301|1539|2014|0|4
302|1796|2014|1|4
303|3407|2014|0|4
304|6488|2014|0|4
305|213|2014|0|4
306|3406|2014|0|4
307|6492|2014|0|4
308|5069|2014|0|4
309|6256|2014|0|4
310|5067|2014|0|4
311|7004|2014|0|4
312|7006|2014|0|4
313|6572|2014|0|4
314|3994|2014|0|4
315|1797|2014|0|4
316|2278|2014|1|4
317|692|2014|0|4
318|1541|2014|0|4
319|7009|2014|0|4
320|7011|2014|0|4
321|2151|2014|0|4
322|3824|2014|0|4
323|1741|2014|0|4
324|7013|2014|0|4
325|447|2014|0|4
326|3967|2014|0|4
327|7015|2014|0|4
328|6564|2014|0|4
329|396|2014|0|4
330|7021|2014|0|4
331|1631|2014|0|4
332|558|2014|0|4
333|6757|2014|0|4
334|5049|2014|0|4
335|603|2014|0|4
336|853|2014|0|4
337|6286|2014|0|4
338|600|2014|0|4
339|3463|2014|0|4
340|7025|2014|1|4
341|7023|2014|0|4
342|6156|2014|0|4
343|7027|2014|0|4
344|7029|2014|0|4
345|526|2014|0|4
346|2121|2014|0|4
347|3627|2014|0|4
348|228|2014|0|4
349|6787|2014|0|4
350|3945|2014|0|4
351|686|2014|0|4
352|670|2014|0|4
353|877|2014|0|4
354|6490|2014|0|4
355|786|2014|0|4
356|1743|2014|0|4
357|7071|2014|0|4
358|586|2014|0|4
359|833|2014|0|4
360|221|2014|0|4
361|7073|2014|0|4
362|6795|2014|0|4
363|783|2014|0|4
364|254|2014|0|4
365|467|2014|0|4
366|7077|2014|0|4
367|841|2014|0|4
368|2120|2014|0|4
369|6809|2014|0|4
370|5047|2014|0|4
371|3473|2014|0|4
372|3626|2014|0|4
373|696|2014|0|4
374|1763|2014|0|4
375|252|2014|0|4
376|6313|2014|0|4
377|6014|2014|0|4
378|1607|2014|0|4
379|7085|2014|0|4
380|7083|2014|0|4
381|784|2014|0|4
382|448|2014|0|4
383|6307|2014|0|4
384|3834|2014|0|4
385|7093|2014|0|4
386|589|2014|0|4
387|3628|2014|0|4
388|7095|2014|0|4
389|6841|2014|0|4
390|2273|2014|1|4
391|5063|2014|0|4
392|6620|2014|0|4
393|6590|2014|0|4
394|7075|2014|1|4
395|3350|2014|1|4
396|3351|2014|0|4
397|3503|2014|1|4
398|4012|2014|0|4
399|1768|2014|0|4
400|7098|2014|0|4
401|6622|2014|0|4
