ID|Code|IDPlayer|RealName|DayBirth|MonthBirth|YearBirth|Height|Weight|RightHanded|TurnedPro|Country
1835|K148|Ko/P/Petr-Korda|Petr Korda|23|1|1968|190|73|0|1987|Czech Republic
1836|C524|Co/G/Guillermo-Coria|Guillermo Coria|13|1|1982|175|69|1|2000|Argentina
1837|O176|Oc/M/Massimo-Ocera|Massimo Ocera|24|3|1982|-1|-1|-1|-1|Italy
1838|C522|Ca/K/Kristian-Capalik|Kristian Capalik|3|10|1978|188|79|1|-1|United States
1839|C523|Ca/M/Marcelo-Carvalho|Marcelo Carvalho|7|2|1979|-1|-1|1|-1|Brazil
1840|C521|Cr/N/Nick-Crowell|Nick Crowell|26|4|1978|-1|-1|1|-1|United States
1841|T321|Ta/E/Esat-Tanik|Esat Tanik|3|11|1980|-1|-1|-1|-1|Turkey
1842|M406|Mo/B/Bernardo-Mota|Bernardo Mota|14|6|1971|178|77|1|1991|Portugal
1843|T323|To/N/Nicolas-Tourte|Nicolas Tourte|18|8|1979|-1|-1|-1|-1|France
1844|T322|Th/J/John-Thivolle|John Thivolle|1|11|1980|-1|-1|-1|-1|France
1845|K181|Ku/N/Nicklas-Kulti|Nicklas Kulti|22|4|1971|190|88|1|1989|Sweden
1846|T327|Th/R/Renaud-Thys|Renaud Thys|4|4|1982|-1|-1|-1|-1|Belgium
1847|K346|Kh/S/Sultan-Khalfan|Sultan Al-Alawi|16|3|1977|-1|-1|1|-1|Qatar
1848|A280|An/H/Henrik-Andersson|Henrik Andersson|2|5|1977|-1|-1|1|0|Sweden
1849|R826|Ra/T/Tony-Rajaobelina|Tony Rajaobelina|10|2|1987|-1|-1|-1|-1|France
1850|K349|Kr/P/Petr-Kralert|Petr Kralert|20|10|1979|188|75|1|1997|Czech Republic
1851|G214|Go/C/Carlos-Gomez-Diaz|Carlos Gomez Diaz|24|12|1968|-1|-1|1|-1|Argentina
1852|R822|Ro/L/Laurent-Rochette|Laurent Rochette|5|2|1988|183|79|1|2006|France
1853|R823|Ra/P/Purav-Raja|Purav Raja|7|12|1985|183|90|1|-1|India
1854|G527|Gr/L/Luka-Gregorc|Luka Gregorc|14|2|1984|-1|-1|1|-1|Slovenia
1855|SL53|So/F/Felipe-Soares|Felipe Soares|21|12|1992|-1|-1|-1|-1|Brazil
1856|G528|Gi/D/Daniele-Giorgini|Daniele Giorgini|24|4|1984|180|75|1|2003|Italy
1857|SL56|St/I/Ilia-Starkov|Ilia Starkov|6|3|1990|-1|-1|-1|-1|Russian Federation
1858|N480|Ne/J/Jeevan-Nedunchezhiyan|Jeevan Nedunchezhiyan|20|10|1988|173|-1|0|-1|India
1859|J009|Je/L/Luke-Jensen|Luke Jensen|18|6|1966|190|86|-1|1987|United States
1860|L257|La/T/Todd-Larkham|Todd Larkham|13|10|1974|178|70|1|1993|Australia
1861|F811|Fr/B/Bjorn-Fratangelo|Bjorn Fratangelo|19|7|1993|-1|-1|1|-1|United States
1862|F810|Fr/G/Gabriel-Friedrich|Gabriel Friedrich|4|6|1994|-1|-1|-1|-1|Brazil
1863|H385|Ha/A/Amir-Hadad|Amir Hadad|17|2|1978|183|88|1|-1|Israel
1864|H382|He/M/Mathias-Hellstrom|Mathias Hellstrom|21|2|1978|-1|-1|1|-1|Sweden
